naziv proizvoda	šifra proizvoda	marka proizvoda	neto količina(KG)	jedinica mjere	maloprod.cijena(EUR)	akc.cijena, A=akcija	kol.jed.mj.	jed.mj. (1 KOM/L/KG)	cijena jed.mj.(EUR)	MPC poseb.oblik prod	Najniža MPC u 30dana	Sidrena cijena	barkod	WG
Zvijezda grah smeđi 800/480 g	00110041	Zvijezda	0.800	KOM	       1,99		1	KG	4,146			MPC 2.5.2025=1,99€	3856015309679	HRANA
Maille senf sa medom 200 ml	00110092	Maille	0.230	KOM	       4,79		1	L	23,95			MPC 2.5.2025=4,79€	3036810204014	HRANA
KLC. Kuhana šunka 150 g	00110093	K-Classic	0.150	KOM	       2,39		1	KG	15,93			MPC 2.5.2025=1,99€	4000930516462	HRANA
YouWok.com Umak Sambal Oelek 200g	00110116	YouWok.com	0.200	KOM	       2,99		1	KG	14,95			MPC 2.5.2025=2,49€	8717228380013	HRANA
Greenalls gin borovnica 37,5% 0,7 l	00110136	Greenalls	0.700	KOM	      17,88		1	L	25,4			MPC 2.5.2025=17,88€	5010296007114	PIĆE
Blue Dragon Ocat rižin japanski 150ml	00110137	Blue Dragon	0.150	KOM	       2,49		1	L	16,6			MPC 2.5.2025=2,49€	5010338101749	HRANA
Perla Temeljac od škampa smrznuti 450 g	00110170	Perla	0.450	KOM	       3,99		1	KG	8,867			MPC 2.5.2025=3,19€	3858892086193	HRANA
Perla Vongole smrznute 750 g	00110174	Perla	0.750	KOM	       5,19		1	KG	6,92			MPC 2.5.2025=3,99€	3858892085301	HRANA
Perla Škampi smrznuti 375 g	00110175	Perla	0.375	KOM	       9,49		1	KG	25,31			MPC 2.5.2025=8,59€	3858892085462	HRANA
Pivsko pecivo 85 g	00110183	#	0.085	KOM	       0,29		1	KG	3,412			MPC 2.5.2025=0,29€	4049727011087	HRANA
Ess.Max.Definit.Wp Volume Maskara 17 ML	00110257	Essence	0.007	KOM	       2,90		1.000					MPC 2.5.2025=2,9€	4059729242037	KOZMETIKA
Ess.Rose Paleta Sjenila Za Oči 20	00110262	Essence	0.010	KOM	       4,70		1.000					MPC 2.5.2025=4,7€	4059729245861	KOZMETIKA
Ess.Umjetne Trepavice 03 11 PAIR	00110264	Essence	0.003	KOM	       2,60		1.000					MPC 2.5.2025=2,6€	4250947543061	KOZMETIKA
Ess.Brow Gel Maskara Za Obrve 05 10 ML	00110266	Essence	0.005	KOM	       2,90		1.000					MPC 2.5.2025=2,9€	4059729255457	KOZMETIKA
Ess.24Ever Ink Olovka Za Oči 01 5 ML	00110267	Essence	0.005	KOM	       2,90		1.000					MPC 2.5.2025=2,9€	4059729254368	KOZMETIKA
Ess.Camouflage+ Matt Korektor 23 33 ML	00110287	Essence	0.033	KOM	       1,55		1.000					MPC 2.5.2025=3,1€	4059729231628	KOZMETIKA
Gavrilović Posebna kobasica 350 g	00110323	Gavrilović	0.350	KOM	       3,39		1	KG	9,686			MPC 2.5.2025=3,39€	3858892721353	HRANA
Gavrilović Tirolska kobasica 350 g	00110324	Gavrilović	0.350	KOM	       4,19		1	KG	11,97			MPC 2.5.2025=4,19€	3858892721278	HRANA
Friskies Hr. za mačke losos 4x85 g	00110339	Friskies	0.340	KOM	       2,29		1	KG	6,735			MPC 2.5.2025=2,29€	7613036987394	PROIZVODI ZA KUĆANSTVO
Friskies Hr.za mač.junior piletina 4x85g	00110340	Friskies	0.340	KOM	       2,29		1	KG	6,735			MPC 2.5.2025=2,29€	7613036988124	PROIZVODI ZA KUĆANSTVO
Juneći mix za juhu cca. 600g	00110343	Pivac	1	KG	       7,99	A	1.000			       7,99	9,49	ca. 600g	2878743000000	HRANA
KLC.Soja umak 170 ml	00110359	K-Classic	0.200	KOM	       0,89		1	L	5,235			MPC 2.5.2025=0,89€	4337185676239	HRANA
KLC. Worcester umak 170 ml	00110360	K-Classic	0.188	KOM	       1,19		1	L	   7			MPC 2.5.2025=1,15€	4337185676208	HRANA
Donut sa šarenim posipom 57g	00110397	#	0.057	KOM	       0,55	A	1	KG	9,821	       0,55	0,35	MPC 2.5.2025=0,69€	4009	HRANA
KLC.Muffins Stracciatella 360g	00110421	K-Classic	0.360	KOM	       3,19		1	KG	8,861			MPC 2.5.2025=2,99€	5709152012408	HRANA
KLC.Muffins čokolada 360 g	00110422	K-Classic	0.360	KOM	       2,99		1	KG	8,306			MPC 2.5.2025=2,99€	5709152012415	HRANA
Krafna marelica XXL 6/1 - Don Don	00110423	Tvojih 5 minuta	0.360	KOM	       2,38		1	KOM	0,397			MPC 2.5.2025=2,38€	3830043046850	HRANA
Bev.Baby Krema za područje pelena 100ml	00110432	Bevola	0.100	KOM	       2,25		1	L	22,5			MPC 2.5.2025=2,25€	4337185820663	KOZMETIKA
Zvijezda ketchup i majoneza tuba 165 g	00110492	Zvijezda	0.165	KOM	       2,49		1	KG	15,09			MPC 2.5.2025=2,39€	3856015321275	HRANA
KAsia.Juha instant gljive 60g	00110496	K-Asia	0.060	KOM	       0,59		1	KG	9,833			MPC 2.5.2025=0,59€	4337185668005	HRANA
KAsia.Juha Instant pileća curry 63 g	00110499	K-Classic	0.063	KOM	       0,34		1	KG	5,667			MPC 2.5.2025=0,59€	4063367358685	HRANA
KAsia.Instant juha pileća mild 60 g	00110500	K-Asia	0.060	KOM	       0,49		1	KG	8,167			MPC 2.5.2025=0,59€	4063367358647	HRANA
KAsia.Instant juha pileća pikant 60 g	00110501	K-Asia	0.060	KOM	       0,49		1	KG	8,167			MPC 2.5.2025=0,59€	4063367358661	HRANA
KAsia.Juha instant škampi 60 g	00110503	K-Asia	0.060	KOM	       0,49		1	KG	8,167			MPC 2.5.2025=0,59€	4063367358760	HRANA
Palette deluxe ledena srebrna U71	00110512	Palette deluxe	0.130	KOM	       5,99		1.000					MPC 2.5.2025=5,99€	9000101267303	KOZMETIKA
Always Ulošci Plat.Ex.Night Duo 10/1_OC	00110531	Always	0.080	KOM	       2,49		1	KOM	0,249			MPC 2.5.2025=2,49€	8001841449906	TOALETNE POTREPŠTINE
Zewa softis maram. style/kut 80kom 4sl.	00110533	Zewa	0.193	KOM	       2,79		1	KOM	0,035			MPC 2.5.2025=2,79€	7322540441574	TOALETNE POTREPŠTINE
Z bregov krema cheesecake 500 g	00110539	`Z bregov	0.500	KOM	       3,89		1	KG	7,78			MPC 2.5.2025=3,89€	3850108058864	HRANA
Zewa vlažni toal.papir pure white 42kom	00110548	Zewa	0.184	KOM	       1,53	A	1	KOM	0,036	       1,53	2,19	MPC 2.5.2025=2,19€	7322540796582	PROIZVODI ZA KUĆANSTVO
Zewa vlažni toaletni papir badem 42kom	00110549	Zewa	0.201	KOM	       1,53	A	1	KOM	0,036	       1,53	2,19	MPC 2.5.2025=2,19€	7322540796179	PROIZVODI ZA KUĆANSTVO
Zewa vlažni toal.papir,kamilica, 42kom	00110550	Zewa	0.184	KOM	       1,53	A	1	KOM	0,036	       1,53	2,19	MPC 2.5.2025=2,19€	7322540796520	PROIZVODI ZA KUĆANSTVO
Zewa vlažni toalet. papir za djecu 42kom	00110551	Zewa	0.184	KOM	       1,53	A	1	KOM	0,036	       1,53	2,19	MPC 2.5.2025=2,19€	7322540796551	PROIZVODI ZA KUĆANSTVO
Annyer gel za kosu rozi 100 ml	00110557	Annyer	0.100	KOM	       3,79		1	L	37,9			MPC 2.5.2025=3,79€	3850177007176	KOZMETIKA
Go on pločica Energy 50g	00110559	Go on	0.050	KOM	       1,29		1	KG	25,8			MPC 2.5.2025=1,19€	5900617034786	HRANA
Bebimil 3 10+mj nova recep. 500g	00110565	Bebimil 3	0.500	KOM	       8,95		1	KG	17,9			MPC 2.5.2025=8,95€	9007253104920	HRANA
Snickers Sladoled na štapiću 91 ml	00110609	Snickers	0.074	KOM	       1,99		1	L	21,87			MPC 2.5.2025=1,99€	5000159515481	HRANA
Snickers Sladoled white 44,6 ml	00110613	#	0.041	KOM	       1,19		1.000					MPC 2.5.2025=1,29€	5000159509756	HRANA
Vanilija Bourbon sladoled 2000 ml - Ledo	00110636	Ledo	0.992	KOM	       5,99		1	L	2,995			MPC 2.5.2025=5,99€	3850116035543	HRANA
KLC.Tuna u pikantnom umaku 185g	00110660	K-Classic	0.185	KOM	       2,39		1	KG	12,92			MPC 2.5.2025=2,09€	4063367393952	HRANA
Schweppes tonik slimline bez šećera 1 l	00110662	Schweppes	1	KOM	       1,85		1.000					MPC 2.5.2025=1,78€	5449000064219	PIĆE
Schweppes Pink Grapefruit 0,5L PET	00110665	Schweppes	0.500	KOM	       1,39		1	L	2,58			MPC 2.5.2025=1,32€	5449000089496	PIĆE
Vedrini Datulja bez koštica 125g	00110754	Vedrini	0.125	KOM	       1,29		1	KG	10,32			MPC 2.5.2025=1,29€	3858889332197	HRANA
KLC.Skyr Natur 500 g	00110755	K-Classic	0.500	KOM	       1,99		1	KG	3,98			MPC 2.5.2025=1,79€	4063367134463	HRANA
SD.KLC.Skyr jagoda 500 g	00110763	K-Classic	0.500	KOM	       2,59		1	KG	5,18			MPC 2.5.2025=2,59€	4337185761577	HRANA
Vedrini Arancini 125g	00110766	Vedrini	0.125	KOM	       2,49		1	KG	19,92			MPC 2.5.2025=2,49€	3858889332241	HRANA
SD.KLC.Skyr vanilija 500 g	00110771	K-Classic	0.500	KOM	       2,59		1	KG	5,18			MPC 2.5.2025=2,59€	4337185761553	HRANA
Vedrini Brazilski oraščić 150g	00110795	Vedrini	0.150	KOM	       4,99		1	KG	33,27			MPC 2.5.2025=3,49€	3858889332128	HRANA
Vedrini Đumbir ušećereni 125g	00110798	Vedrini	0.125	KOM	       1,99		1	KG	15,92			MPC 2.5.2025=1,99€	3858889332227	HRANA
Stribor wok mix 350g	00110799	STRIBOR	0.350	KOM	       1,99		1	KG	5,686			MPC 2.5.2025=1,99€	3858893250470	HRANA
Stribor kupus bijeli 250g	00110809	STRIBOR	0.250	KOM	       0,99		1	KG	3,96			MPC 2.5.2025=0,99€	3858893250395	HRANA
Vedrini Energy mix 150g	00110812	Vedrini	0.150	KOM	       2,99		1	KG	19,93			MPC 2.5.2025=2,99€	3858889332302	HRANA
Vedrini Pinjoli 100g	00110815	Vedrini	0.100	KOM	       4,49		1	KG	44,9			MPC 2.5.2025=4,49€	3858889332173	HRANA
Loreal Men Ex.Roll on Invincib.sport50ml	00110869	Loreal Men	0.050	KOM	       5,19		1	L	103,8			MPC 2.5.25=5,19€	3600523908677	KOZMETIKA
Garnier Fructis Šampon aloe vera 400ml	00110870	Fructis	0.450	KOM	       4,49		1	L	11,23			MPC 2.5.2025=4,49€	3600542134781	KOZMETIKA
Garnier Min.Roll on Invisible B&W 50ml	00110871	Garnier Mineral	0.050	KOM	       4,99		1	L	99,8			MPC 2.5.2025=4,59€	3600542310338	KOZMETIKA
Loreal Boja za kosu Cast.Creme gl.3102	00110873	Loreal	0.240	KOM	       7,19		1.000					MPC 2.5.2025=7,99€	3600523807130	KOZMETIKA
Loreal Boja za kosu Casting cr.gloss410	00110874	Loreal	0.240	KOM	       7,19		1.000					MPC 2.5.2025=7,99€	3600523807123	KOZMETIKA
Color Sensation S1 Platinum Blond	00110876	Color sensation	0.140	KOM	       3,59	A	1.000			       3,59	5,29	MPC 2.5.2025=5,29€	3600542259095	KOZMETIKA
Color Sensation S11 Ultra Smoky Blond	00110877	Color sensation	0.140	KOM	       3,59	A	1.000			       3,59	5,29	MPC 2.5.2025=5,29€	3600542259101	KOZMETIKA
Loreal Hyaluron Krema noć.lice spec.50ml	00110879	Loreal	0.186	KOM	       9,99		1	L	199,8			MPC 2.5.2025=9,99€	3600523775644	KOZMETIKA
Loreal Hyaluron spec. dn.krema lice 50ml	00110880	L'oreal	0.186	KOM	       9,99		1	L	199,8			MPC 2.5.2025=9,99€	3600523775699	KOZMETIKA
Čoko donut s mrvljenim bombonima 56 g	00110979	#	0.056	KOM	       0,55	A	1	KG	9,821	       0,55	0,35	MPC 2.5.2025=0,69€	4015	HRANA
Livanjski sir 180 g	00110983	Mljekara Livno	0.180	KOM	       5,99		1	KG	33,28			MPC 2.5.2025=5,99€	3877000339877	HRANA
Krumpir crveni 2,5 kg	00110999	Krumpir crveni	2.500	KOM	       2,69		1	KG	1,076			MPC 15.7.2025=2,99€	3859891254552	HRANA
Sanytol maramice za dezinf. 36 kom	00111010	Sanytol	0.160	KOM	       3,65		1	KOM	0,101			MPC 2.5.2025=3,39€	8411660000224	KOZMETIKA
Jacobs Kava instant Cronat GoldXXL2x200g	00111011	Jacobs	0.400	KOM	      15,09		1	KG	37,73			MPC 2.5.2025=17,98€	3858889578496	HRANA
Garnier Fructis hairfood rege.Bana.350ml	00111016	Fructis	0.384	KOM	       5,49		1	L	15,69			MPC 2.5.2025=5,49€	3600542290272	KOZMETIKA
Garnier Fructis Rege.hairfood papaj350ml	00111018	Fructis	0.384	KOM	       5,49		1	L	15,69			MPC 2.5.2025=5,49€	3600542290289	KOZMETIKA
Garnier Fructis Šampon Hairfood Al.350ml	00111019	Fructis	0.346	KOM	       5,49		1	L	15,69			MPC 2.5.2025=5,49€	3600542289986	KOZMETIKA
Garnier Fructis Šamp.hairfood banan350ml	00111020	Fructis	0.346	KOM	       5,49		1	L	15,69			MPC 2.5.2025=5,49€	3600542290012	KOZMETIKA
Garnier Fructis Šam.hairfood papaja350ml	00111022	Fructis	0.346	KOM	       5,49		1	L	15,69			MPC 2.5.2025=5,49€	3600542289979	KOZMETIKA
Garnier Min. Roll on Mag.Ultr.dry ž.50ml	00111024	Garnier Mineral	0.050	KOM	       4,99		1	L	99,8			MPC 02.05.2025=4,99€	3600542309967	KOZMETIKA
Garnier Men Roll on Mag.Ultra dry m.50ml	00111025	Garnier Men	0.050	KOM	       4,99		1	L	99,8			MPC 02.05.2025=4,99€	3600542310055	KOZMETIKA
Loreal Maska za lice Hyaluron spec.	00111031	Loreal	0.030	KOM	       3,05		1.000					MPC 2.5.2025=3,05€	3600524050986	KOZMETIKA
Garnier micelarna voda s.ruž.vodom 400ml	00111034	Garnier	0.400	KOM	       7,79		1	L	19,48			MPC 2.5.2025=7,79€	3600542326698	KOZMETIKA
Fant za chili con carne 55g	00111035	Fant	0.055	KOM	       1,39		1	KG	25,27			MPC 2.5.2025=1,25€	3856020236441	HRANA
Fant za tortilje 40g	00111036	Fant	0.040	KOM	       1,39		1.000					MPC 2.5.2025=1,15€	3856020236472	HRANA
Fant za zapečenu piletinu s 4 sira 40g	00111038	Fant	0.040	KOM	       1,39		1.000					MPC 2.5.2025=1,39€	3856020236502	HRANA
GranCereale keks classico 250 g	00111070	Grancereale	0.250	KOM	       1,39	A	1	KG	5,56	       1,39	1,99	MPC 2.5.2025=1,99€	8076809540124	HRANA
KFav.Praline irski viski 150 g	00111071	K-Favourites	0.150	KOM	       3,25		1	KG	21,67			MPC 2.5.2025=3,25€	4337185785405	HRANA
Landliebe Griz puding čokolada 150g	00111078	Landliebe	0.150	KOM	       1,19		1	KG	7,933			MPC 2.5.2025=1,19€	4067517001308	HRANA
Farina pš. braš. za burek i pite 1kg	00111082	Farina brašno	1	KOM	       0,99		0.000					MPC 2.5.2025=0,99€	3858887101016	HRANA
Aroma pinca 15 ml	00111083	Aromar	0.014	KOM	       1,69		1.000					MPC 2.5.2025=1,59€	3859888333505	HRANA
Landliebe Griz puding classic 150g	00111134	Landliebe	0.150	KOM	       1,19		1	KG	7,933			MPC 2.5.2025=1,19€	4067517001735	HRANA
Farina Speciale zob. integ. brašno 800g	00111137	Farina Speciale	0.800	KOM	       1,85		1	KG	2,313			MPC 2.5.2025=1,85€	3858887101047	HRANA
Farina Speciale heljdino brašno 1 kg	00111138	Farina Speciale	1	KOM	       3,69		0.000					MPC 2.5.2025=3,69€	3858887101023	HRANA
Nivea Sun Losion bronze after sun 200ml	00111216	Nivea Sun	0.200	KOM	       5,89		1	L	29,45			MPC 2.5.2025=10,49€	9005800326788	KOZMETIKA
Vital snack slatki čili 65 g	00111232	Vital	0.065	KOM	       1,05		1	KG	16,15			MPC 2.5.2025=1,05€	8594042912022	HRANA
Vital čips pizza 65 g	00111233	Vital	0.065	KOM	       1,05		1	KG	16,15			MPC 2.5.2025=1,05€	8594042912145	HRANA
Vital snack hummus slani 65 g	00111235	Vital	0.065	KOM	       1,05		1	KG	16,15			MPC 2.5.2025=1,05€	8594042912039	HRANA
KLC.Vafel punjen čokoladnom kremom 280 g	00111242	K-Classic	0.280	KOM	       2,15		1	KG	7,679			MPC 2.5.2025=2,15€	4063367177804	HRANA
KLC.Happy Mix 500 g	00111244	K-Classic	0.500	KOM	       5,49		1	KG	10,98			MPC 2.5.2025=5,99€	4063367212833	HRANA
Raid Tekuće punje.Clas.za el.aparat 36ml	00111245	Raid	0.050	KOM	       3,15		1.000					MPC 2.5.2025=8,99€	5000204028157	KOZMETIKA
Cockta free 0,33 l lim	00111246	Cockta	0.330	KOM	       0,99		1	L	2,697			MPC 2.5.2025=0,82€	3838471039956	PIĆE
Cedevita bazga limun 340 ml	00111247	Cedevita	0.340	KOM	       1,19		1	L	3,206			MPC 2.5.2025=1,05€	3850322013427	PIĆE
Cedevita limun 340 ml	00111248	Cedevita	0.340	KOM	       1,19		1	L	3,206			MPC 2.5.2025=1,05€	3850322013380	PIĆE
Cedevita naranča 340 ml	00111270	Cedevita GO	0.340	KOM	       1,19		1	L	3,206			MPC 2.5.2025=1,05€	3850322013366	PIĆE
Cedevita limeta 340 ml	00111272	Cedevita	0.340	KOM	       1,19		1	L	3,206			MPC 2.5.2025=1,05€	3850322013403	PIĆE
Nivea Gel za tušir. Creme Aloe XXL 750ml	00111284	Nivea	0.750	KOM	       3,99		1	L	5,32			MPC 02.05.2025=3,99€	4005900648181	KOZMETIKA
Nivea Gel za tušir.Creme care XXL 750ml	00111285	Nivea	0.750	KOM	       3,99		1	L	5,32			MPC 2.05.2025=3,99€	9005800223063	KOZMETIKA
Nivea Gel za tušir. Creme soft XXL 750ml	00111286	Nivea	0.750	KOM	       3,99		1	L	5,32			MPC 2.5.2025=3,99€	9005800218540	KOZMETIKA
Eveline Ulje za sunčanje SPF 6 150ml	00111359	Eveline	0.150	KOM	       4,15		1	L	27,67			MPC 2.5.2025=4,89€	5901761912333	KOZMETIKA
zbregov UHT prot.nap. kokos bez la. 0,5l	00111437	`Z bregov	0.500	KOM	       2,49		1	L	4,98			MPC 2.5.2025=2,49€	3850108023657	PIĆE
zbregov UHT prot.nap.čok.bez lakt. 0,5l	00111438	`Z bregov	0.500	KOM	       2,49		1	L	4,98			MPC 2.5.2025=2,49€	3850108023664	PIĆE
zbregov UHT prot.nap.čok.kik.bez l. 0,5l	00111439	`Z bregov	0.500	KOM	       2,49		1	L	4,98			MPC 2.5.2025=2,49€	3850108023688	PIĆE
zbregov UHT prot.nap.keks, bez lak. 0,5l	00111440	`Z bregov	0.500	KOM	       2,49		1	L	4,98			MPC 2.5.2025=2,49€	3850108023671	PIĆE
Dukat Mlijeko čok.lag.j.bez lak1,5%0,5L	00111471	Dukat Lagano Jutro	0.500	KOM	       1,35	A	1	L	 2,7	       1,35	1,35	MPC 2.5.2025=1,69€	3850354015093	HRANA
KLC.Limunska kiselina 100 g	00111477	K-Classic	0.100	KOM	       0,75		1	KG	 7,5			MPC 2.5.2025=0,70€	4337185892493	HRANA
SD.Bev.tek.sapun Passionfruit 500ml	00111490	Bevola	0.500	KOM	       0,89		1	L	1,78			MPC 2.5.2025=0,89€	5902357007266	KOZMETIKA
KLC lazanje bez jaja 500 g	00111497	KLC	0.500	KOM	       1,79		1	KG	3,58			MPC 2.5.2025=1,79€	4006196029302	HRANA
K-Bio fusilli od slanutka 250 g	00111502	K-Bio	0.250	KOM	       2,29		1	KG	9,16			MPC 2.5.2025=2,29€	4032844050343	HRANA
KBio.Tjestenina Penne od zel.graška 250g	00111503	K-Bio	0.250	KOM	       2,29		1	KG	9,16			MPC 2.5.2025=2,29€	4032844050367	HRANA
Mon Soleil Mlijeko za sunč.SPF50 200ml	00111527	Mon Soleil	0.200	KOM	      12,79		1	L	63,95			MPC 2.5.2025=12,79€	3850177006322	KOZMETIKA
Calgon-protiv taloženja kamenca 700g	00111535	Calgon	0.700	KOM	       7,59		1	KG	10,84			MPC 2.5.2025=7,59€	5999109510594	SREDSTVA ZA ČIŠĆENJE
Biobaza Pekmez za brzo tamnj.origi.150ml	00111545	Biobaza	0.150	KOM	       9,59		1	L	63,93			MPC 2.5.2025=9,99€	3856020905378	KOZMETIKA
Biobaza Fluid za tijelo tan boosti.150ml	00111547	Biobaza	0.150	KOM	       7,99		1	L	53,27			MPC 2.5.2025=7,99€	3856020905460	KOZMETIKA
Kiri topljeni sir 65% m.m. 100 g	00111560	Kiri	0.100	KOM	       1,69		1	KG	16,9			MPC 2.5.2025=1,69€	3073780839631	HRANA
KLC.Baguette šampinjoni 250 g 2/1	00111571	K-Classic	0.250	KOM	       1,65		1	KG	 6,6			MPC 2.5.2025=1,39€	4002084548368	HRANA
Novofruct Bio baby pouch jabuka 90g	00111589	Ovko	0.090	KOM	       0,76		1	KG	8,444			MPC 2.5.2025=0,76€	8586015178887	HRANA
Novofruct Bio baby pouch jab.,mrk.ban90g	00111590	Ovko	0.090	KOM	       0,76		1	KG	8,444			MPC 2.5.2025=0,76€	8586015178849	HRANA
Novofruct Bio baby pouch jabuka,mrkva90g	00111591	Ovko	0.090	KOM	       0,76		1	KG	8,444			MPC 2.5.2025=0,76€	8586015178870	HRANA
Novofruct Bio baby pouch kruška 90g	00111592	Ovko	0.090	KOM	       0,76		1	KG	8,444			MPC 2.5.2025=0,76€	8586015178894	HRANA
Novofruct Bio baby pouch voćni mix 90g	00111593	Ovko	0.090	KOM	       0,76		1	KG	8,444			MPC 2.5.2025=0,76€	8586015178900	HRANA
Ovko bio baby kaš. mrk.krump,goved 190g	00111610	Ovko	0.190	KOM	       0,85		1	KG	4,474			MPC 2.5.2025=0,95€	8586015172700	HRANA
Ovko bio baby kašica brokula krump.190g	00111611	Ovko	0.190	KOM	       0,85		1	KG	4,474			MPC 2.5.2025=0,85€	8586015172687	HRANA
Ovko bio baby kašica mrkva piletina190g	00111612	Ovko	0.190	KOM	       0,85		1	KG	4,474			MPC 2.5.2025=0,95€	8586015172694	HRANA
Ovko bio baby kašica špinat+riža190g	00111613	Ovko	0.190	KOM	       0,85		1	KG	4,474			MPC 2.5.2025=0,85€	8586015172670	HRANA
Ovko bio baby kašica Jab,ban,marel. 190g	00111626	Ovko	0.190	KOM	       0,85		1	KG	4,474			MPC 2.5.2025=0,95€	8586015172755	HRANA
Ovko bio baby kašica voćni mix 190g	00111627	Ovko	0.190	KOM	       0,85		1	KG	4,474			MPC 2.5.2025=0,95€	8586015172731	HRANA
Ovko bio baby kašica Bresk,ban,žit.190g	00111628	Ovko	0.190	KOM	       0,85		1	KG	4,474			MPC 2.5.2025=0,95€	8586015172717	HRANA
Ovko bio baby kašica breskva banana 190g	00111629	Ovko	0.190	KOM	       0,85		1	KG	4,474			MPC 2.5.2025=0,95€	8586015172748	HRANA
Ovko bio baby kašica jabuka kruška 190g	00111630	Ovko	0.190	KOM	       0,85		1	KG	4,474			MPC 2.5.2025=0,95€	8586015172724	HRANA
Somersby lubenica 0,5 l lim	00111639	Somersby	0.500	KOM	       1,79		1	L	3,38			MPC 2.5.2025=1,79€	3858887583393	PIĆE
Sladki greh Preljev od karamele 230 g	00111640	Sladki greh	0.230	KOM	       2,99		1	KG	  13			MPC 2.5.2025=2,99€	3838900034330	HRANA
Ben&Jerry`s Sladoled Cookie Dough 465 ml	00111650	Ben&Jerry`s	0.406	KOM	       8,79		1	L	18,9			MPC 2.5.2025=7,99€	8711327373105	HRANA
Ben&Jerry`s Sladol.ChocoFud.Brownie465ml	00111653	Ben&Jerry`s	0.408	KOM	       8,79		1	L	18,9			MPC 2.5.2025=7,99€	8711327370708	HRANA
Fa men deospray xtreme invis.power 150ml	00111657	Fa	0.150	KOM	       3,99		1	L	26,6			MPC 2.5.2025=3,99€	9000100760546	KOZMETIKA
Ožujsko svijetlo pivo 5% 4x 0,5l lim	00111662	Ožujsko	2	KOM	       4,45	A	1	L	2,025	       4,45	5,31	MPC 2.5.2025=5,31€	3850131986011	PIĆE
Thomas Henry Ginger Beer 0,75 l	00111698	Thomas Henry	0.750	KOM	       5,99		1	L	7,853			MPC 2.5.2025=5,02€	4251760802540	PIĆE
Thomas Henry Tonik Water 0,75 l	00111705	Thomas Henry	0.750	KOM	       5,99		1	L	7,853			MPC 2.5.2025=5,02€	4251760802526	PIĆE
KLC.Puding čokolada 200 g	00111759	K-Classic	0.200	KOM	       0,79		1	KG	3,95			MPC 2.5.2025=0,75€	4337185730610	HRANA
KLC.Puding vanilija 200 g	00111760	K-Classic	0.200	KOM	       0,79		1	KG	3,95			MPC 2.5.2025=0,75€	4337185730634	HRANA
KLC.Tijesto za pizzu 400g - Henglein vg.	00111768	K-Classic	0.400	KOM	       1,09	A	1	KG	2,725	       1,09	1,09	MPC 2.5.2025=1,35€	4337185831621	HRANA
Patron Silver Tequila 40% 0,7 l	00111774	Patron	0.700	KOM	      59,99		1	L	85,56			MPC 2.5.2025=62,02€	721733000739	PIĆE
Gorbatschow Sex on the beach 0,33 l	00111777	Gorbatschow	0.330	KOM	       2,99		1	L	8,758			MPC 2.5.2025=2,99€	4003310017474	PIĆE
Orah jezgra 500g_OC	00111779	Orah jezgra _OC	0.500	KOM	       5,49		1	KG	10,98			MPC 2.5.2025=5,49€	3859890630579	HRANA
Lješnjak jezgra 500g	00111780	Lješnjak jezgra	0.500	KOM	       7,99		1	KG	15,98			MPC 2.5.2025=6,99€	3859890630722	HRANA
Vedrini Badem jezgra 500g	00111781	Vedrini	0.500	KOM	       5,99		1	KG	11,98			MPC 2.5.2025=4,99€	3859890630982	HRANA
Vedrini Grožđica suha 500g	00111782	Vedrini	0.500	KOM	       2,99		1	KG	5,98			MPC 2.5.2025=2,99€	3859890630265	HRANA
Chipita 7 day`s super max kak-van. 110 g	00111785	7 days	0.110	KOM	       1,25		1	KG	11,36			MPC 2.5.2025=1,25€	7622201390624	HRANA
Chipita 7 day`s super max kakao 110 g	00111786	7 days	0.110	KOM	       1,25		1	KG	11,36			MPC 2.5.2025=1,25€	7622201388362	HRANA
Nescafe Kava instant 3u1 Frappe 15 g	00111803	Nescafe	0.015	KOM	       0,35		1.000					MPC 2.5.2025=0,35€	8445291182646	HRANA
Pampers vlažne maram.fresh clean 4x52kom	00111828	Pampers	1.200	KOM	       5,17		1	KOM	0,025			MPC 2.5.2025=5,17€	8001841077949	KOZMETIKA
Pepsi 1,5 l PET	00111836	Pepsi,Mirin.7UP	1.500	KOM	       1,85		1	L	1,167			MPC 2.5.2025=1,82€	3830065022603	PIĆE
Herbal Essences šampon Hemp&Aloe 380ml	00111842	Herbal Essences	0.420	KOM	       4,59		1	L	12,08			MPC 2.5.2025=4,59€	8001841500706	KOZMETIKA
Kotanyi grill magic dust 80 g	00111847	Kotanyi	0.080	KOM	       2,39		1	KG	29,88			MPC 2.5.2025=2,39€	9001414206850	HRANA
KFav. Chorizo salama narezak 100 g	00111848	K-Favourites	0.100	KOM	       1,39		1	KG	13,9			MPC 2.5.2025=1,69€	4337185833571	HRANA
Nila beauty delicates 2,7 l	00111857	Nila	2.770	KOM	       4,49	A	1	L	1,663	       4,49	9,29	MPC 2.5.2025=9,29€	3850105169693	SREDSTVA ZA ČIŠĆENJE
Nila my cute baby 2,7 l	00111858	Nila	2.770	KOM	       4,49	A	1	L	1,663	       4,49	9,29	MPC 2.5.2025=9,29€	3850105169600	SREDSTVA ZA ČIŠĆENJE
Nila my happy colors 2,7 l	00111859	Nila	2.770	KOM	       4,49	A	1	L	1,663	       4,49	9,29	MPC 2.5.2025=9,29€	3850105169662	SREDSTVA ZA ČIŠĆENJE
