naziv;šifra;marka;neto kolièina;jedinica mjere;MPC (EUR);cijena za jedinicu mjere (EUR);MPC za vrijeme posebnog oblika prodaje (EUR);Najniža cijena u posljednjih 30 dana (EUR);sidrena cijena na 2.5.2025. (EUR);barkod;kategorija proizvoda
MAJON.SA TARTUF.ZIGANTE 130 g;380583;Zigante;0,1300;kg;5,49;42,23;;;5,99;3858891982618;Hrana
VINO ERDUT ROSE NL 0,75L;380590;;0,7500;L;7,09;9,45;;;7,99;3859889193450;Piæa
VINO ERDUT GRAŠEVINA NL 0,75 L;380591;;0,7500;L;7,09;9,45;;;7,99;3859889193221;Piæa
GIN TONIC OLD PILOTS 0,25 L ;380592;;0,2500;L;2,49;9,96;;;3,02;3859894018342;Piæa
VODKA SODA OLD PIL. 0,25 L;380593;;0,2500;L;2,29;9,16;;;3,02;3859894018359;Piæa
NAMAZ OD LOSOSA 150 g;380595;;0,1500;kg;4,99;33,27;;;4,99;8055323490597;Hrana
NAMAZ OD TUNE 150 g;380596;;0,1500;kg;4,99;33,27;;;4,99;8055323490580;Hrana
BACARDI CARTA ORO 0,7 L;380598;;0,7000;L;18,49;26,41;;;18,02;5010677028875;Piæa
RAJÈICA SJEC.LA TORRENTE 400 g;380601;;0,4000;kg;1,29;3,23;;;1,29;8000282000707;Hrana
RAJÈICA PELAT LA TORRENTE 400g;380602;;0,4000;kg;1,29;3,23;;;1,29;8000282001117;Hrana
UMAK POMOP. LA TORRENTE 400 g;380604;;0,4000;kg;1,29;3,23;;;1,29;8000282000271;Hrana
RAJÈICA PASIRANA POMOLA 700 g;380605;;0,7000;kg;1,99;2,84;;;1,99;8000282001865;Hrana
RAJÈICA PASIRANA POMOLA 435 g;380606;;0,4350;kg;1,79;4,11;;;1,79;8000282001476;Hrana
KETCHUP HEINZ BLAGI 450 g;380610;Heinz;0,4500;kg;;4,42;1,99;2,51;3,59;8715700421551;Hrana
NAM.VEGGI.ZAÈ.BILJ.ÈEŠNJ.150 g;380626;SPAR Veggie;0,1500;kg;2,29;15,27;;;2,29;9100000027654;Hrana
UMAK J.DANIEL´S ORIG BBQ 553 g;380642;;0,5530;kg;;12,64;6,99;7,99;7,99;0810020931754;Hrana
UMAK J.DANIEL´S MED BBQ 553g;380644;;0,5530;kg;;12,64;6,99;7,99;7,99;0810020931778;Hrana
INST.KAVA NESC.CLAS.155 g 10+2;380650;Nescafe;0,1550;KG;2,99;19,29;;;2,99;8445291261143;Piæa
SENF THOMY AMERICANO TUBA 190g;380655;;0,1900;kg;2,29;12,05;;;2,29;8445290992864;Hrana
SENF ESTRAGON PODRAVKA 310 g;380659;Podravka;0,3100;kg;2,39;7,71;;;2,09;3856020268909;Hrana
Orada L 300-400 g;380665;;1,0000;kg;10,99;10,99;;;6,99;93856024300967;Hrana
BAG.VEGGIE SA ZAÈ.BILJEM 175 g;380700;SPAR Veggie;0,1750;kg;1,29;7,37;;;1,29;9100000007953;Hrana
INST.KAVA ILLY CLASSIC RO.95 g;380703;Illy;0,0950;KG;;84,11;7,99;9,99;9,99;8003753144337;Piæa
INST.KAVA ILLY BOLD ROAST 95 g;380705;Illy;0,0950;KG;;84,11;7,99;9,99;9,99;8003753144313;Piæa
Èajna kobasica Spar;380715;SPAR;1,0000;kg;14,99;14,99;;;14,99;3856021227578;Hrana
TP.PALOMA MAX 4/1;380716;Paloma;4,0000;kom;;0,62;2,49;4,39;4,39;3838952035163;Toaletne potrepštine
Dimljena kuhana šunka Despar;380717;Despar;1,0000;kg;12,99;12,99;;;12,99;1260670000000;Hrana
NAMAZ B.MAMAN LJEŠ.ÈOKOL.360g;380749;;0,3600;kg;5,99;16,64;;;6,99;3608580129615;Hrana
NAMAZ B.MAMAN KIKIRIKI 325 g;380751;;0,3250;kg;4,99;15,35;;;5,49;3608580141082;Hrana
NAMAZ NOCCIOLATA LJEŠ.ÈOK.250g;380752;;0,2500;kg;5,49;21,96;;;5,29;8052575091176;Hrana
NAMAZ NOCCIOLATA LJEŠ.ÈOK.250g;380754;;0,2500;kg;5,49;21,96;;;5,39;8052575091183;Hrana
RIŽA ARBORIO ENCIAN VAK.1 kg;380764;;1,0000;kg;4,99;4,99;;;4,49;3858894620388;Hrana
RIŽA ORIGINARIO ENCIAN 1 kg;380766;;1,0000;kg;4,49;4,49;;;3,99;3858894620401;Hrana
VODKA GREY GOOSE 1,5 L;380775;Grey Goose;1,5000;L;120,02;80,01;;;120,02;5010677850506;Piæa
RUM CAPTAIN MORGAN 1,5 L;380776;Captain Morgan;1,5000;L;40,02;26,68;;;40,02;5000281035338;Piæa
VODKA CRYSTAL HEAD 1,75 L;380777;;1,7500;L;99,99;57,14;;;130,02;0627040411469;Piæa
GIN HENDRICKS 1,75 L;380802;Hendricks;1,7500;L;115,02;65,73;;;115,02;5010327701028;Piæa
LIKER JAGERMEISTER 3 L;380803;;3,0000;L;79,99;26,66;;;74,02;4067700027740;Piæa
TAB.JAR ALL IN ONE LEMON 116/1;380804;Jar;116,0000;kom;29,99;0,26;;;29,99;8700216253482;Sredstva za èišæenje
DET.PERSIL FRESHNESS 6,05 kg;380818;Persil;6,0500;kg;19,99;3,30;;;23,99;9000101806083;Sredstva za èišæenje
RAKIJA AURA BISKA 3 L;380846;;3,0000;L;150,02;50,01;;;150,02;3859893552588;Piæa
LIKER AURA TERANINO 3 L;380848;;3,0000;L;150,02;50,01;;;150,02;3858894950386;Piæa
GIN AURA KARBUN 3 L;380849;;3,0000;L;149,99;50,00;;;190,02;3859893552601;Piæa
S SALVETE CRNA 30/1,33x33cm;380904;SPAR marka kvalitete;1,0000;kom;0,99;0,99;;;1,19;9100000037011;Proizvodi za kuæanstvo
S SALVETE MINT 30/1,33x33cm;380906;SPAR marka kvalitete;1,0000;kom;0,99;0,99;;;1,19;9100000036892;Proizvodi za kuæanstvo
S SALVETE APRIKOT 30/1,33x33cm;380907;SPAR marka kvalitete;1,0000;kom;0,99;0,99;;;1,19;9100000036830;Proizvodi za kuæanstvo
S SALVETE T. ROZA 30/1,33x33cm;380908;SPAR marka kvalitete;1,0000;kom;0,99;0,99;;;1,19;9100000036953;Proizvodi za kuæanstvo
S SALVETE CRNE 50/1,40x40cm;380909;SPAR marka kvalitete;1,0000;kom;2,59;2,59;;;2,69;9100000037035;Proizvodi za kuæanstvo
S SALVETE MINT 50/1,40x40cm;380910;SPAR marka kvalitete;1,0000;kom;2,59;2,59;;;2,69;9100000036915;Proizvodi za kuæanstvo
S SALVETE APRIKOT  50/1,40x40c;380911;SPAR marka kvalitete;1,0000;kom;2,59;2,59;;;2,69;9100000036854;Proizvodi za kuæanstvo
S SALVETE T.ROZA  50/1,40x40cm;380912;SPAR marka kvalitete;1,0000;kom;2,59;2,59;;;2,69;9100000036977;Proizvodi za kuæanstvo
S SALVETE CRNE 50/1,24x24cm;380913;SPAR marka kvalitete;1,0000;kom;1,19;1,19;;;1,29;9100000036991;Proizvodi za kuæanstvo
S SALVETE MINT  50/1,24x24cm;380914;SPAR marka kvalitete;1,0000;kom;1,19;1,19;;;1,29;9100000036878;Proizvodi za kuæanstvo
S SALVETE APRIKOT 50/1,24x24cm;380915;SPAR marka kvalitete;1,0000;kom;1,19;1,19;;;1,29;9100000036816;Proizvodi za kuæanstvo
S SALVETE T.ROZA  50/1,24x24cm;380916;SPAR marka kvalitete;1,0000;kom;1,19;1,19;;;1,29;9100000036939;Proizvodi za kuæanstvo
EDAMAME U MAH.SPAR 300 g ;381054;SPAR;0,3000;kg;2,29;7,63;;;1,79;9100000019581;Hrana
ÈIPS PRINGLES KETCHUP 165 g;381066;Pringles;0,1650;kg;3,49;21,15;;;3,49;5053990121922;Hrana
BRISAÈ PODA SPRAY MOP,TIRKIZ;381093;;1,0000;kom;13,29;13,29;;;13,29;8683143501973;Proizvodi za kuæanstvo
INST.KAVA NESCAF.CLASSIC 155 g;381116;Nescafe;0,1550;KG;2,99;19,29;;;2,99;8445291261044;Piæa
KAVA JULIUS MEIN.ES.MOKA 220 g;381117;JULIUS MEINL;0,2200;KG;7,79;35,41;;;7,19;9000403975456;Piæa
IN.JUHA PODRAVKA CURRY 65g;381192;Podravka;0,0650;kg;1,69;26,00;;;1,69;3856020269944;Hrana
IN.JUHA PODRAVKA PILET.TER.65g;381193;Podravka;0,0650;kg;1,69;26,00;;;1,69;3856020270063;Hrana
IN.JUHA PODRAVKA SP.BEEF 65g;381194;Podravka;0,0650;kg;1,69;26,00;;;1,69;3856020270032;Hrana
JUHA KREM OD RAJ.S-BUDGET 65 g;381196;S-Budget;0,0650;kg;0,64;9,85;;;0,65;3856021226526;Hrana
JUHA KREM OD GLJIVA S-BUDG.65g;381197;S-Budget;0,0650;kg;0,64;9,85;;;0,65;3856021226502;Hrana
JUHA POVRTNA TJ. S-BUDGET 65g;381198;S-Budget;0,0650;kg;0,59;9,08;;;0,59;3856021226489;Hrana
JUHA GOVEÐA TJES. S-BUDGET 65g;381199;S-Budget;0,0650;kg;0,59;9,08;;;0,59;3856021226465;Hrana
JUHA KOKOŠJA TJES. S-BUDG. 65g;381200;S-Budget;0,0650;kg;0,59;9,08;;;0,59;3856021226441;Hrana
GIN&TON.MILLHILL STRA. 0,25 L ;381219;;0,2500;L;2,42;9,68;;;2,42;8594005026155;Piæa
FLIPS STOBI 200 g;381220;Stobi;0,2000;kg;1,99;9,95;;;0,99;5310005021753;Hrana
FLIPS STOBI SPICY 200 g;381221;Stobi;0,2000;kg;1,99;9,95;;;0,99;5310005021777;Hrana
WHISKY CLAN CAMPBELL 0,7 L;381222;;0,7000;L;13,29;18,99;;;14,02;5056772300003;Piæa
RAKIJA TRAVARICA BADEL 0,1 L;381223;;0,1000;L;1,65;16,50;;;1,65;3850112122230;Piæa
RAKIJA ŠLJIVOVICA BADEL 0,1 L;381224;;0,1000;L;1,69;16,90;;;1,69;3850112121301;Piæa
BACARDI CARTA NEGRA 0,7 L;381225;;0,7000;L;18,49;26,41;;;18,02;7610113004814;Piæa
VINO ŠIBENSKI JAKOV 0,75 L;381226;;0,7500;L;12,05;16,07;;;14,99;3859890650638;Piæa
PROSEC.VALDO ROSE 0,75 L;381227;;0,7500;L;;11,99;8,99;14,02;14,02;8002335650068;Piæa
PROSECCO VALDO CUVEE M. 0,75 L;381228;;0,7500;L;;11,99;8,99;12,02;12,02;8002335620061;Piæa
VINO VRH.MERLOT NUIÆ 0,75 L;381229;;0,7500;L;13,02;17,36;;;13,02;3872499000338;Piæa
VINO VR.ŽILAVKA NUIÆ 0,75 L;381230;;0,7500;L;13,02;17,36;;;13,02;3872499000017;Piæa
VINO VR.BLATINA NUIÆ 0,75 L;381231;;0,7500;L;13,02;17,36;;;13,02;3872499000031;Piæa
VINO VR.CAB.SAUVIGN.NUIÆ 0,75L;381232;;0,7500;L;13,02;17,36;;;13,02;3872499000055;Piæa
ZUB.PASTA SENSODYNE CLIN 75 ml;381238;Sensodyne;0,0750;kom;8,49;113,20;;;6,39;5054563207357;Kozmetika
ZUB.PASTA AQUAFRESH INT.W75 ml;381239;Aquafresh;0,0750;kom;3,99;53,20;;;3,89;5054563159250;Kozmetika
VODA ZA USTA PARODONTAX 300 ml;381240;Parodontax;0,3000;l;6,79;22,63;;;7,99;5054563231291;Kozmetika
TUNA FJK SUNCOKR.ULJE 4X80 g;381241;Franz Jozef Kaiser;0,2080;kg;6,49;31,20;;;5,99;8595241527857;Hrana
IZO.NAP.POWERADE MANGO 0,5 L;381254;Powerade;0,5000;L;1,55;3,10;;;1,65;5449000320988;Piæa
BALZAM USNE ISANA 2x4,8g;381303;ISANA;0,0096;kg;1,79;186,46;;;1,79;42453383;Kozmetika
PUD.PROTEIN VANIL.SPAR 200 g;381306;SPAR;0,2000;kg;0,99;4,95;;;0,99;9100000015439;Hrana
PUD.PROTEIN ÈOKOLAD.SPAR 200 g;381307;SPAR;0,2000;kg;0,99;4,95;;;0,99;9100000015415;Hrana
PROT.NAP.ÈOKO.SPAR 330 ml;381308;SPAR;0,3500;kg;1,49;4,26;;;1,52;9100000015477;Hrana
PROT.NAP.VANILIJA SPAR 330 ml;381309;SPAR;0,3500;kg;1,49;4,26;;;1,52;9100000015491;Hrana
ÈIPS OD LEÆE CHIO SLANI 65 g;381370;Chio;0,0650;kg;1,99;30,62;;;1,99;5996253002210;Hrana
BOMB.SKITTLES DESSERT 152 g;381371;Skittles;0,1520;kg;2,49;16,38;;;2,49;4009900544788;Hrana
DIVLJE BOROVNICE SPAR 200 g;381372;SPAR;0,2000;kg;1,99;9,95;;;1,99;9100000031309;Hrana
ADV.KALENDAR AFTER EIGHT 199 g;381387;After Eight ;0,1990;kg;;7,49;1,49;2,99;14,99;8000300423808;Hrana
NAP.MANNER A LA SPEKUL.185 g;381388;Manner;0,1850;kg;1,79;9,68;;;2,29;9015810000646;Hrana
NAP.MANNER JAB.CIM.185 g;381392;;0,1850;KG;1,79;9,68;;;2,29;9015810000608;Hrana
NAP.MANNER KOKOS MAKARON 185 g;381393;Manner;0,1850;KG;1,79;9,68;;;2,29;9015810000622;Hrana
PRALINE MANNER LJEŠNJAK 290 g;381404;Manner;0,2900;KG;;18,93;5,49;5,99;6,99;9000331645773;Hrana
DET.PERSIL UNIVERSAL 2X2,43 L;381406;Persil;4,8600;L;29,99;6,17;;;23,99;9000101824438;Sredstva za èišæenje
DET.PERSIL COLOR 2X2,43 L;381410;Persil;4,8600;l;29,99;6,17;;;23,99;9000101824469;Sredstva za èišæenje
TORTA BISCOTTO 850 g;381440;;0,8500;kg;10,99;12,93;;;10,99;3870622001078;Hrana
KRUTI ŠAMPON BILJARICA LI.50 g;381463;;0,0500;kg;7,99;159,80;;;7,99;3857500147325;Kozmetika
KRUTI ŠAMPON BILJARICA NA.50 g;381466;;0,0500;kg;7,99;159,80;;;7,99;3857500147301;Kozmetika
MLIJEKO UHT 1,5% S BUDGET 1 L;381521;SPAR;1,0000;L;0,95;0,95;;;0,95;9100000988771;Hrana
MLIJEKO UHT 3,5% S BUDGET 1 L;381523;SPAR;1,0000;L;1,09;1,09;;;1,05;9100000988795;Hrana
RIBLJ.BURG.PICC.PANONICA 400 g;381563;;0,4000;kg;7,99;19,98;;;7,99;3859894308009;Hrana
RIBLJ.BURG.AROM.PANONICA 400 g;381564;;0,4000;kg;7,99;19,98;;;7,99;3859894308023;Hrana
RIBLJ.ÆEVAPÈIÆI PANONICA 400 g;381565;;0,4000;kg;7,99;19,98;;;7,99;3859894308047;Hrana
TJESTENINA FUSILLI PIR 400 g;381575;;0,4000;kg;2,99;7,48;;;2,99;3857500150103;Hrana
DŽEM EXTRA DIVLJI ŠIPAK 340 g;381579;;0,3400;kg;5,99;17,62;;;5,99;3857500148407;Hrana
MINI HOT DOG S-BUDGET 1 kg;381614;S-Budget;1,0000;kg;4,49;4,49;;;3,99;3856021227349;Hrana
SRE.SPLENDID ODST.KAMENCA 1 L ;381626;Splendid;1,0000;L;2,65;2,65;;;2,65;9100000022215;Sredstva za èišæenje
ÈOK.KINDER SURPRISE 80g;381627;Kinder;0,0800;kg;4,99;62,38;;;5,59;8000500449394;Hrana
ADV.KALENDAR KINDER 198 g;381628;Kinder;0,1980;kg;;7,53;1,49;2,99;11,69;8000500426791;Hrana
POK.PAKET IDC INST.SCANTE.GOLD;381629;IDC INSTITUTE;1,0000;kom;5,59;5,59;;;7,99;8436616358334;Kozmetika
POK.PAKET ZMILE ADV.KALE;381634;ZMILE;1,0000;kom;9,99;9,99;;;21,99;4038432015053;Kozmetika
P.P.OLD SPICE WHITEW.CHEF;381639;Old Spice;1,0000;kom;7,99;7,99;;;7,99;8700216131704;Kozmetika
MJEŠAVINA INT.PIROV GRIZ 300g;381641;;0,3000;kg;3,99;13,30;;;3,99;3857500150127;Hrana
TJES.PEREC FUSILLI ŠPINAT 400g;381642;;0,4000;kg;2,49;6,23;;;2,49;3859894123336;Hrana
POK.PAK.AXE BLACK TORBICA ECO ;381643;Axe;1,0000;kom;12,59;12,59;;;19,99;8721201969409;Kozmetika
ÈOK.KRAŠ SELEC.BAJADERA 130 g;381645;Bajadera;0,1300;kg;2,79;21,46;;;3,79;3850102013470;Hrana
TJES.PEREC FUSILLI PROT. 400g;381646;;0,4000;kg;2,99;7,48;;;2,99;3859894123374;Hrana
TJ.PEREC FUSILLI TIKVA  400g;381647;;0,4000;kg;2,49;6,23;;;2,49;3859894123350;Hrana
TJ.PEREC FUSILLI BATAT 400g;381649;;0,4000;kg;2,49;6,23;;;2,49;3859894123312;Hrana
ÈOK.KRAŠ SELEC.GRIOTTE 135 g;381651;Griotte;0,1350;kg;2,79;20,67;;;3,79;3850102013494;Hrana
GRANOLA MOR.LAB JAG.VAN. 350 g;381652;;0,3500;kg;6,99;19,97;;;7,99;3859894271044;Hrana
PRALINE KRAŠ BAJADERA 175 g;381653;Bajadera;0,1750;kg;5,99;34,23;;;5,99;3850102009770;Hrana
GRANOLA MORNING LAB NUTS 350g;381655;;0,3500;kg;6,99;19,97;;;7,99;3859894271037;Hrana
GRANOLA MOR.LAB KOKOS 350 g;381656;;0,3500;kg;6,99;19,97;;;7,99;3859894271051;Hrana
GRANOLA MOR.LAB TRO.ÈOKO. 350g;381657;;0,3500;kg;6,99;19,97;;;7,99;3859894271099;Hrana
PAKET KRAŠ SLATKI MIX 373 g;381661;Kraš;0,3730;kg;3,49;9,36;;;5,29;3850102013692;Hrana
BOBICE HASKAPA BIO 300 g;381666;;0,3000;kg;6,99;23,30;;;6,99;3858895370008;Hrana
KEKS SPECULAS XMAS 200 g;381668;Speculaas;0,2000;kg;1,99;9,95;;;2,39;3856014107863;Hrana
DŽEM EX.BABOJELIÆ HAS.BOB.230g;381677;;0,2300;kg;4,49;19,52;;;4,49;3858895370022;Hrana
ÈOKOLADNO JAJE KINER MIX 131 g;381680;Kinder;0,1310;kg;9,99;76,26;;;14,99;8000500372210;Hrana
POK.PAK.NIVEA W.FACE Q10 POWER;381688;Nivea;1,0000;kom;9,99;9,99;;;31,99;9005800382937;Kozmetika
LIZALICA BOŽIÆ MIX 48 g;381695;;0,0480;kg;;18,54;0,89;0,99;1,29;5901986031482;Hrana
ÈIPS DUOPAC.DORITOS 180g;381711;Doritos;0,1800;kg;3,89;21,61;;;3,89;3858889367304;Hrana
ZU.PASTA SIGNAL EX.FRESH 75 ml;381719;Signal;0,0750;l;3,29;43,87;;;3,29;8720181437243;Kozmetika
ÈET.ZUB.SIGNAL SENSISOFT 3/1;381721;Signal;3,0000;kom;6,49;2,16;;;6,49;8720181277184;Kozmetika
SOK HASKAP MATIÈNI BIO 330 ml;381728;;0,3300;l;7,52;22,79;;;7,52;3858895370046;Piæa
PECI.ELEPH.OKUS ROŠTILJA 125 g;381738;Elephant;0,1250;kg;1,99;15,92;;;1,59;5941035012642;Hrana
LIKER ROSSI TERAN.0,5 L + ÈAŠA;381744;;0,5000;L;21,99;43,98;;;22,02;3859894302038;Piæa
LIKER ROSSI PELIN.EP..0,5L + È;381745;;0,5000;L;21,99;43,98;;;22,02;3859894302045;Piæa
ÈOK.FERR.ROCHER BIJELA 90 g ;381765;Ferrero;0,0900;kg;;25,44;2,29;2,89;2,49;8000500359884;Hrana
ÈOK.MERCI DJED BOŽIÆNJAK 120g;381769;Merci;0,1200;kg;;16,58;1,99;2,99;3,49;4014400915198;Hrana
POK.PAKET LA RIVE HEROIC MAN  ;381774;;1,0000;kom;10,14;10,14;;;12,99;5903719641821;Kozmetika
POK.PAKET LA RIVE M.ABSOLUT.SP;381776;La Rive;1,0000;kom;12,99;12,99;;;12,99;5903719642873;Kozmetika
POK.PAKET LA RIVE MISS DREAM  ;381777;;1,0000;kom;10,14;10,14;;;12,99;5903719641685;Kozmetika
POK.PAKET LA RIVE I AM IDEAL  ;381778;;1,0000;kom;12,99;12,99;;;12,99;5903719642859;Kozmetika
POK.PAKET LA RIVE QUEEN OF LIF;381779;La Rive;1,0000;kom;10,14;10,14;;;12,99;5903719641661;Kozmetika
WHIS.CLAN CAM. 0,7 L  + 2 ÈAŠE;381781;;0,7000;L;;19,99;13,99;14,99;15,02;3859894276018;Piæa
MEDENJACI KASTNER 400 g;381783;Kastner;0,4000;kg;6,99;17,48;;;7,29;9001734004013;Hrana
NEKTAR MARASKA MULTIVITAMI.1 L;381786;Maraska;1,0000;L;1,79;1,79;;;1,65;3850158800062;Piæa
POK.PAK.MARTINELIA BALL.BE.SET;381826;MARTINELIA;1,0000;kom;9,49;9,49;;;9,49;8436609398941;Kozmetika
DŽEM MADRE NAT.MARELICA 430 g ;381828;;0,4300;kg;3,99;9,28;;;3,99;3859892918408;Hrana
DŽEM MADRE NAT.ŠLJIVA 430 g ;381830;;0,4300;kg;3,59;8,35;;;3,59;3859892918415;Hrana
DŽEM MADRE NAT.VIŠNJA 430 g ;381833;;0,4300;kg;3,99;9,28;;;3,99;3859892918422;Hrana
DŽEM MADRE NAT.JAGODA 430 g ;381837;;0,4300;kg;4,59;10,67;;;4,59;3859892918477;Hrana
POK.PAKET IDC INST.BATH GOLD D;381844;IDC INSTITUTE;1,0000;kom;13,99;13,99;;;13,99;8436609399061;Kozmetika
POK.PAKET IDC INST.GARDEN SET ;381846;IDC INSTITUTE;1,0000;kom;16,99;16,99;;;16,99;8436616350864;Kozmetika
DEO STICK OLD SPICE TIGE.50 ml;381852;Old Spice;0,0500;l;3,49;69,80;;;3,85;8700216884686;Kozmetika
POK.PAKET IDC INST.GOURM.FAV.;381853;IDC INSTITUTE;1,0000;kom;11,99;11,99;;;11,99;8436609399689;Kozmetika
MORSKO BLAGO LEDO 352 g;381866;Ledo;0,3520;kg;4,99;14,18;;;4,99;3850116066004;Hrana
PRALINE FERRERO ROCHER 312 g;381894;Ferrero;0,3120;kg;9,79;31,38;;;11,99;4008400172521;Hrana
PAN.PIL.FREE-TES VINDIJA 600 g;381897;Cekin;0,6000;kg;8,29;13,82;;;8,29;3850159141119;Hrana
PAN.PIL.NUGGETS VINDIJA 600 g;381898;Cekin;0,6000;kg;8,29;13,82;;;8,29;3850159141126;Hrana
ÈIPS LAYS SALSA 120 g;381922;Lays;0,1200;kg;1,99;16,58;;;1,89;5900259135834;Hrana
POK.PAK.AFRODITA YUICY PAP.GL ;381931;Afrodita;1,0000;kom;15,99;15,99;;;15,99;3831070662525;Kozmetika
POK.PAK.AFRODITA RASP.BODY ;381934;Afrodita;1,0000;kom;6,29;6,29;;;8,99;3831070662563;Kozmetika
GIN S-BUDGET 0,1 L;381941;S-BUDGET;0,1000;L;1,29;12,90;;;1,29;3856021227585;Piæa
VINO GRAŠEVINA JERUZAL. 0,75 L;381946;;0,7500;L;6,02;8,03;;;5,79;3830078702233;Piæa
STUDENTSKI MIX S-BUDGET 500 g;382013;S-Budget;0,5000;kg;4,29;8,58;;;3,99;3856021226946;Hrana
STUDENTSKI MIX S-BUDGET 500 g;382014;S-Budget;0,5000;kg;4,99;9,98;;;3,99;3856021226960;Hrana
PECIVO ELEPHANT 125 g;382028;Elephant;0,1250;kg;1,99;15,92;;;1,59;5949040203529;Hrana
PECIVO ELEPHANT 125 g;382031;Elephant;0,1250;kg;1,99;15,92;;;1,59;5949040203567;Hrana
PECIVO ELEPHANT TWIST 70 g;382036;Elephant;0,0700;kg;1,39;19,86;;;1,39;5949040204311;Hrana
TLAÈENICA PIVAC 500 g;382067;Pivac;0,5000;kg;3,19;6,38;;;4,29;3858884998688;Hrana
ENJOY SAL TUNA COUSCOUS 275 g;382071;SPAR enjoy;0,2750;kg;3,99;14,51;;;4,19;3856021227684;Hrana
ENJOY SAL.PILET.QUINOA 275 g;382073;SPAR enjoy;0,2750;kg;3,99;14,51;;;4,19;3856021227707;Hrana
GEL TUŠ.AFRODITA HOLIDA 250 ml;382095;Afrodita;0,2500;l;2,99;11,96;;;2,99;3831070664451;Kozmetika
TEK.SAPUN AFRODITA HOLD.300 ml;382096;Afrodita;0,3000;l;3,99;13,30;;;3,99;3831070664475;Kozmetika
SIR ISTARSKI TVRDI SPAR 300 g;382099;SPAR marka kvalitete;0,3000;kg;5,99;19,97;;;5,99;3856021227462;Hrana
KARE DIMLJENI Z´DEŽELE;382121;Celjske Mesnine;1,0000;kg;9,69;9,69;;;9,29;3838876003224;Hrana
NAMAZ LINO LADA DUO PODR.500 g;382130;Podravka;0,5000;kg;4,99;9,98;;;4,69;3856020241636;Hrana
SRE.VANISH WHITE 970 g;382133;Vanish;0,9700;kg;15,49;15,97;;;12,99;5999109562821;Sredstva za èišæenje
ŽIT. PODR.O´PLANT FRUIT 350 g;382248;Podravka;0,3500;kg;3,99;11,40;;;3,59;3856020274320;Hrana
KOB.DIMLJENA ZA KUHANJE 270 g;382249;Medven;0,2700;kg;3,69;13,67;;;3,98;3859894129307;Hrana
ŽIT. POD.O´PLANT DAT.MAT. 350g;382254;Podravka;0,3500;kg;3,99;11,40;;;3,59;3856020274269;Hrana
ŽIT.POD.O´PLANT CHIA  PIR 350g;382259;Podravka;0,3500;kg;3,99;11,40;;;3,59;3856020274238;Hrana
ŽIT. PO.O´PLANT DAT.KAKAO 350g;382262;Podravka;0,3500;kg;3,99;11,40;;;3,59;3856020274290;Hrana
INST.J.NISSIN WOK CHILLI 92g;382285;Nissin;0,0920;kg;2,39;25,98;;;2,39;5997523313135;Hrana
ŠTRUKLI SIR ZLATO POLJE 1 kg;382287;Podravka;1,0000;kg;6,99;6,99;;;5,99;3838700369267;Hrana
INST.J.NISSIN WOK TERIYAKI 90g;382288;Nissin;0,0900;kg;2,39;26,56;;;2,39;5997523313159;Hrana
INST.J.NISSIN NOOD.SPICY 66g;382290;Nissin;0,0660;kg;2,09;31,67;;;2,09;5997523317072;Hrana
INST.J.NISSIN NOOD.KOZICE 63g;382293;Nissin;0,0630;kg;2,09;33,17;;;2,09;8712429130405;Hrana
NEKT.VINDI DISNEY JAGODA 0,2 L;382306;Vindija;0,2000;L;0,85;4,25;;;0,89;3850108075496;Piæa
NEK.VINDI DISNEY BRESKVA 0,2 L;382307;Vindija;0,2000;L;0,85;4,25;;;0,89;3850108078305;Piæa
NEKTAR VINDI DISNEY JABUKA 1 L;382308;Vindija;1,0000;L;0,99;0,99;;;1,79;3850108078190;Piæa
NEKTAR VINDI DISNEY BOROVN.1 L;382309;Vindija;1,0000;L;1,09;1,09;;;2,19;3850108078244;Piæa
SOK HOHES C 100% ŽELJEZO 1 L;382312;Hohes C;1,0000;L;;2,63;2,63;3,29;3,29;4048517619731;Piæa
HUMMUS GURU RIBELLA 180 g;382313;Zvijezda;0,1800;kg;2,15;11,94;;;2,09;8606011896254;Hrana
SOK HOHES C 100% IMUNO 1 L;382314;Hohes C;1,0000;L;;2,63;2,63;3,29;3,29;4048517654442;Piæa
SOK HOHES C 100% SUNVIT. D 1 L;382315;Hohes C;1,0000;L;;3,19;3,19;3,99;3,99;4048517629983;Piæa
HUMMUS GURU RIBELLA ORIG.180 g;382316;;0,1800;kg;2,15;11,94;;;2,09;8606011896377;Hrana
SMOTHIE HS JAGODA 200 g;382321;;0,2000;KG;0,99;4,95;;;0,99;8590014839311;Piæa
SORBET MANGO SPAR PREMI.480 ml;382322;SPAR PREMIUM;0,4800;L;5,99;12,48;;;5,99;9100000021621;Hrana
SMOTHIE HS ANANAS 200 g;382323;;0,2000;KG;0,99;4,95;;;0,99;8590014839502;Piæa
SMOTHIE HS MARELICA 200 g;382325;;0,2000;KG;0,99;4,95;;;0,99;8590014839328;Piæa
SLA.VAN.PEC.KAR.PREMIUM 480 ml;382328;SPAR PREMIUM;0,4800;L;5,99;12,48;;;5,99;9100000021515;Hrana
OME.DUEL LIKE A DIAMOND 2,45 L;382337;Duel;2,4500;L;6,99;2,85;;;5,99;8606015847047;Sredstva za èišæenje
